Brand,Model,Year,Category,Rating,displacement_cc,power_hp,torque_nm,engine_cyl,engine_stroke,Gearbox,bore_mm,stroke_mm,fuel_cap_lts,fuel_control,cooling,trans_type,dry_weight_kg,wheelbase_mm,seat_height_mm,front_tire,rear_tire,trevors_fav
Kawasaki,klx150bf,2020,Enduro / Offroad,NA,144,NA,NA,Single Cylinder,Four-Stroke,NA,58,54.4,6.9,Single Overhead Cams (Sohc),Air,NA,NA,1340,870,2.75-21,4.1-18,No
Kawasaki,klx230,2020,Enduro / Offroad,3.3,233,NA,NA,Single Cylinder,Four-Stroke,6-Speed,67,66,6.43,Single Overhead Cams (Sohc),Air,Chain,NA,1359,919,80/100-21,100/100-18,No
Kawasaki,klx230r,2020,Enduro / Offroad,NA,233,NA,NA,Single Cylinder,Four-Stroke,6-Speed,67,66,6.6,Single Overhead Cams (Sohc),Air,Chain,NA,1359,925,80/100-21,100/100-18,No
Kawasaki,klx250s,2020,Super Motard,NA,249,NA,20.6,Single Cylinder,Four-Stroke,NA,72,61.2,7.57,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1430,890,3.00-21,4.60-18,No
Kawasaki,klx300r,2020,Enduro / Offroad,3.8,292,NA,NA,Single Cylinder,Four-Stroke,6-Speed,78,61.2,9.84,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,128,1435,925,80/100-x21,100/100-x18,No
Kawasaki,klx450r,2020,Enduro / Offroad,NA,449,NA,NA,Single Cylinder,Four-Stroke,5-Speed,96,62.1,8,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1480,935,80/100-21,120/90-18,No
Kawasaki,kx100,2020,Cross / Motocross,3.4,99,NA,NA,Single Cylinder,Two-Stroke,6-Speed,52.5,45.8,5.67,NA,Liquid,Chain,NA,1311,871,70/100-19,90/100-16,No
Kawasaki,kx250,2020,Cross / Motocross,3.4,249,NA,NA,Single Cylinder,Four-Stroke,5-Speed,77,53.6,6.4,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,100.2,1481,947,80/100-21,100/90-19,No
Kawasaki,kx450,2020,Cross / Motocross,NA,449,NA,NA,Single Cylinder,Four-Stroke,5-Speed,96,62,6.2,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,105.2,1485,955,80/100-21,120/80-19,No
Kawasaki,kx65,2020,Cross / Motocross,NA,64.7,NA,NA,Single Cylinder,Two-Stroke,6-Speed,44.5,41.6,3.79,NA,Liquid,Chain,NA,1120,759,60/100-14,80/100-12,No
Kawasaki,kx85 i,2020,Cross / Motocross,NA,84,NA,NA,Single Cylinder,Two-Stroke,6-Speed,48.5,45.8,5,NA,Liquid,Chain,NA,1265,830,70/100-17,90/100-14,No
Kawasaki,kx85-ii,2020,Cross / Motocross,NA,84.6,NA,NA,Single Cylinder,Two-Stroke,6-Speed,48.5,45.8,5,NA,Liquid,Chain,NA,1310,870,70/100-19,90/100-16,No
Kawasaki,ninja 1000 abs,2020,Sport,NA,1043,200,113,In-Line Four,Four-Stroke,6-Speed,77,56,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1440,815,120/70-ZR17,190/50-ZR17,No
Kawasaki,ninja 1000sx,2020,Sport,3.5,1043,200,113,In-Line Four,Four-Stroke,6-Speed,77,56,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1440,815,120/70-ZR17,190/50-ZR17,No
Kawasaki,ninja 125,2020,Sport,3.1,125,14.8,11.7,Single Cylinder,Four-Stroke,NA,58,47.2,7.4,Single Overhead Cams (Sohc),Liquid,Chain,NA,1330,785,100/80-17,130/70-17,No
Kawasaki,ninja 400 abs,2020,Sport,NA,399,NA,NA,Twin,Four-Stroke,NA,70,51.8,3.7,Double Overhead Cams/Twin Cam (Dohc),NA,Chain,166,1344,785,110/70-17,150/70-17,No
Kawasaki,ninja 400 krt edition,2020,Sport,NA,399,44,37,Twin,Four-Stroke,6-Speed,70,51.8,14,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1405,785,110/70-17,150/70-17,No
Kawasaki,ninja 400 krt se,2020,Sport,NA,399,44.8,38,Twin,Four-Stroke,NA,70,51.8,14,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,168,1370,785,110/70-17,150/60-17,No
Kawasaki,ninja 400 se,2020,Sport,NA,399,44.8,38,Twin,Four-Stroke,NA,70,51.8,14,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,166,1370,785,110/70-17,150/60-17,No
Kawasaki,ninja 650,2020,Sport,3.5,649,52.3,56,Twin,Four-Stroke,6-Speed,83,60,16,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1410,790,120/70-17,160/60-17,No
Kawasaki,ninja 650l,2020,Sport,NA,649,67.3,66,Twin,Four-Stroke,6-Speed,83,60,15,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1410,790,120/70-17,160/60-17,No
Kawasaki,ninja h2,2020,Sport,NA,998,228,141,In-Line Four,Four-Stroke,6-Speed,76,55,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1455,825,120/70-ZR17,200/55-ZR17,Yes
Kawasaki,ninja h2 carbon,2020,Sport,NA,998,228,141,In-Line Four,Four-Stroke,6-Speed,76,55,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1455,825,120/70-ZR17,200/55-ZR17,Yes
Kawasaki,ninja h2 sx,2020,Sport,NA,998,228,141,In-Line Four,Four-Stroke,6-Speed,76,55,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1481,836,120/70-ZR17,190/55-ZR17,Yes
Kawasaki,ninja h2 sx se,2020,Sport,NA,998,200,137,In-Line Four,Four-Stroke,6-Speed,76,55,19,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1481,835,120/70-ZR17,190/55-ZR17,Yes
Kawasaki,ninja h2 sx se plus,2020,Sport,NA,998,228,141,In-Line Four,Four-Stroke,6-Speed,76,55,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1481,836,120/70-ZR17,190/55-ZR17,Yes
Kawasaki,ninja h2r,2020,Sport,NA,998,228,141,In-Line Four,Four-Stroke,6-Speed,76,55,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1450,831,120/70-ZR17,190/65-ZR17,Yes
Kawasaki,ninja z h2,2020,Sport,3.4,998,197,137,In-Line Four,Four-Stroke,6-Speed,76,55,19,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1455,825,120/70-ZR17,190/55-ZR17,No
Kawasaki,ninja zx-10r,2020,Sport,NA,998,200,113,In-Line Four,Four-Stroke,6-Speed,76,55,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1440,835,120/70-ZR17,190/55-ZR17,No
Kawasaki,ninja zx-10r se,2020,Sport,NA,998,200,113,In-Line Four,Four-Stroke,6-Speed,76,55,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1440,835,120/70-ZR17,190/55-ZR17,No
Kawasaki,ninja zx-10rr,2020,Sport,NA,998,204,115,In-Line Four,Four-Stroke,6-Speed,76,55,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1440,835,120/70-ZR17,190/55-ZR17,No
